actions, games, valid_actions, av_reward, av_kills, av_points, av_game_time, games_per_min
18573,400,0.14343401712162818,-5.15436386151941,0.525,7.6275,1594.150532499989,37.637599948548406
30968,800,0.21355385235982252,-4.76345300524405,0.4875,7.18,1252.261415000012,47.913318482307005
40929,1200,0.26603754643108124,-4.471840176689088,0.465,6.8175,839.6743450000026,71.45627392009912
49922,1600,0.29689758701212055,-4.240520404759257,0.535,7.7575,749.8387999999977,80.01719836316843
57724,2000,0.3369648807997949,-4.0207639066905925,0.4225,6.5025,676.4308125000028,88.70086768851877
65200,2400,0.35406634563937933,-3.8701177100053505,0.4325,6.725,665.5885200000013,90.14578556733504
72278,2800,0.38188753885278326,-3.6517377790336254,0.5525,7.7525,647.2579450000007,92.69874624713943
78760,3200,0.40635606294353593,-3.4949089787102747,0.5075,7.1725,613.9576674999995,97.72660751076954
84961,3600,0.4410578938880826,-3.300274149330753,0.5625,8.11,613.6271200000006,97.77925069543853
90604,4000,0.47740563530037217,-3.062200956937799,0.5325,7.6675,573.8662750000007,104.55397470429837
96311,4400,0.47923602593306464,-3.038198703346767,0.57,8.0125,585.7402474999986,102.43448398174165
101369,4800,0.5375642546461051,-2.6915776986951365,0.55,7.835,441.8286875000002,135.79924006179425
106592,5200,0.5291977790541834,-2.7221903120811795,0.5925,8.365,470.17192499999425,127.61289394299912
111338,5600,0.571849978929625,-2.405604719764012,0.5525,7.9975,444.4401524999924,135.0013036907169
115955,6000,0.5969244097899069,-2.2213558587827595,0.605,8.45,449.69450749999027,133.4239111203761
120385,6400,0.6191873589164786,-2.099097065462754,0.5975,8.36,448.01919750001514,133.92283262593446
124597,6800,0.6324786324786325,-1.9943019943019944,0.47,7.025,441.7405700000026,135.82632901478723
128773,7200,0.6693007662835249,-1.7076149425287357,0.64,8.965,454.89415000000037,131.89881646092823
133168,7600,0.6552901023890785,-1.7924914675767918,0.7325,9.69,493.16064999999014,121.66420820477303
137261,8000,0.6823845590031762,-1.5968727095040314,0.645,8.8475,470.81007499999134,127.43992362525611
